model,doc,f1
claude-3-haiku,api,0.6182
claude-3-haiku,architecture,0.7755
claude-3-haiku,cli,0.8085
claude-3-haiku,code-snippets,0.8889
claude-3-haiku,getting-started,1.0000
deepseek-v4-flash,api,0.7556
deepseek-v4-flash,architecture,0.9500
deepseek-v4-flash,cli,0.8444
deepseek-v4-flash,code-snippets,0.9412
deepseek-v4-flash,getting-started,1.0000
gemini-2.5-flash-lite,api,0.7111
gemini-2.5-flash-lite,architecture,0.8947
gemini-2.5-flash-lite,cli,0.8444
gemini-2.5-flash-lite,code-snippets,0.9412
gemini-2.5-flash-lite,getting-started,1.0000
gemini-3.1-flash-lite-preview,api,0.7556
gemini-3.1-flash-lite-preview,architecture,0.9000
gemini-3.1-flash-lite-preview,cli,0.8182
gemini-3.1-flash-lite-preview,code-snippets,0.9412
gemini-3.1-flash-lite-preview,getting-started,1.0000
gemma-4-26b-a4b,api,0.7727
gemma-4-26b-a4b,architecture,0.9231
gemma-4-26b-a4b,cli,0.8636
gemma-4-26b-a4b,code-snippets,0.9412
gemma-4-26b-a4b,getting-started,1.0000
gemma-4-31b,api,0.7556
gemma-4-31b,architecture,0.9000
gemma-4-31b,cli,0.8636
gemma-4-31b,code-snippets,0.9412
gemma-4-31b,getting-started,1.0000
gpt-4o-mini,api,0.6800
gpt-4o-mini,architecture,0.8000
gpt-4o-mini,cli,0.8444
gpt-4o-mini,code-snippets,0.8889
gpt-4o-mini,getting-started,0.9091
gpt-5-nano,api,0.7234
gpt-5-nano,architecture,0.8636
gpt-5-nano,cli,0.8182
gpt-5-nano,code-snippets,0.9412
gpt-5-nano,getting-started,1.0000
gpt-oss-120b,api,0.7556
gpt-oss-120b,architecture,0.9231
gpt-oss-120b,cli,0.8444
gpt-oss-120b,code-snippets,0.9412
gpt-oss-120b,getting-started,0.9091
grok-4.1-fast,api,0.8095
grok-4.1-fast,architecture,0.9048
grok-4.1-fast,cli,0.8636
grok-4.1-fast,code-snippets,0.9412
grok-4.1-fast,getting-started,1.0000
haiku-4.5,api,0.6977
haiku-4.5,architecture,0.8571
haiku-4.5,cli,0.8372
haiku-4.5,code-snippets,0.9412
haiku-4.5,getting-started,1.0000
mimo-v2.5,api,0.7556
mimo-v2.5,architecture,0.8649
mimo-v2.5,cli,0.7805
mimo-v2.5,code-snippets,0.9412
mimo-v2.5,getting-started,0.8000
