model,threshold,f1
bge-reranker-base,0.10,0.3525
bge-reranker-base,0.15,0.3562
bge-reranker-base,0.20,0.3618
bge-reranker-base,0.25,0.3757
bge-reranker-base,0.30,0.3571
bge-reranker-base,0.35,0.3791
bge-reranker-base,0.40,0.3885
bge-reranker-base,0.45,0.3906
bge-reranker-base,0.50,0.3902
bge-reranker-base,0.55,0.3860
bge-reranker-base,0.60,0.3269
bge-reranker-base,0.65,0.3299
bge-reranker-base,0.70,0.3191
bge-reranker-base,0.75,0.2637
bge-reranker-base,0.80,0.2667
bge-reranker-base,0.85,0.1687
bge-reranker-base,0.90,0.1463
bge-reranker-base,0.95,0.1000
bge-reranker-v2-m3,0.10,0.3707
bge-reranker-v2-m3,0.15,0.4649
bge-reranker-v2-m3,0.20,0.4615
bge-reranker-v2-m3,0.25,0.4812
bge-reranker-v2-m3,0.30,0.4262
bge-reranker-v2-m3,0.35,0.4035
bge-reranker-v2-m3,0.40,0.3670
bge-reranker-v2-m3,0.45,0.3333
bge-reranker-v2-m3,0.50,0.3232
bge-reranker-v2-m3,0.55,0.2553
bge-reranker-v2-m3,0.60,0.2444
bge-reranker-v2-m3,0.65,0.1412
bge-reranker-v2-m3,0.70,0.0988
bge-reranker-v2-m3,0.75,0.0263
bge-reranker-v2-m3,0.80,0.0000
bge-reranker-v2-m3,0.85,0.0000
bge-reranker-v2-m3,0.90,0.0000
bge-reranker-v2-m3,0.95,0.0000
jina,0.10,0.6829
jina,0.15,0.7200
jina,0.20,0.6615
jina,0.25,0.5983
jina,0.30,0.5047
jina,0.35,0.3789
jina,0.40,0.3111
jina,0.45,0.2326
jina,0.50,0.1707
jina,0.55,0.0519
jina,0.60,0.0000
jina,0.65,0.0000
jina,0.70,0.0000
jina,0.75,0.0000
jina,0.80,0.0000
jina,0.85,0.0000
jina,0.90,0.0000
jina,0.95,0.0000
voyage-rerank-2.5,0.10,0.1322
voyage-rerank-2.5,0.15,0.1322
voyage-rerank-2.5,0.20,0.1322
voyage-rerank-2.5,0.25,0.1382
voyage-rerank-2.5,0.30,0.1982
voyage-rerank-2.5,0.35,0.3254
voyage-rerank-2.5,0.40,0.4573
voyage-rerank-2.5,0.45,0.5594
voyage-rerank-2.5,0.50,0.6857
voyage-rerank-2.5,0.55,0.7692
voyage-rerank-2.5,0.60,0.7632
voyage-rerank-2.5,0.65,0.7059
voyage-rerank-2.5,0.70,0.6723
voyage-rerank-2.5,0.75,0.5524
voyage-rerank-2.5,0.80,0.2759
voyage-rerank-2.5,0.85,0.2143
voyage-rerank-2.5,0.90,0.0519
voyage-rerank-2.5,0.95,0.0000
voyage-rerank-2.5-lite,0.10,0.1322
voyage-rerank-2.5-lite,0.15,0.1322
voyage-rerank-2.5-lite,0.20,0.1322
voyage-rerank-2.5-lite,0.25,0.1338
voyage-rerank-2.5-lite,0.30,0.1689
voyage-rerank-2.5-lite,0.35,0.2315
voyage-rerank-2.5-lite,0.40,0.3378
voyage-rerank-2.5-lite,0.45,0.4540
voyage-rerank-2.5-lite,0.50,0.5659
voyage-rerank-2.5-lite,0.55,0.6667
voyage-rerank-2.5-lite,0.60,0.7442
voyage-rerank-2.5-lite,0.65,0.7500
voyage-rerank-2.5-lite,0.70,0.6116
voyage-rerank-2.5-lite,0.75,0.4167
voyage-rerank-2.5-lite,0.80,0.2558
voyage-rerank-2.5-lite,0.85,0.1928
voyage-rerank-2.5-lite,0.90,0.0769
voyage-rerank-2.5-lite,0.95,0.0000
